#1|lemma	count
ⲡⲱⲣϣ	54
ⲣⲣⲣⲟ	54
ⲁⲃⲉⲛⲛⲏⲣ	53
ⲙⲱⲟⲩⲥⲏⲥ	53
ⲙⲏⲧ	53
ϫⲟⲉⲓ	53
ϩⲟⲟⲩⲧ	53
ⲁⲛⲟⲙⲟⲥ	53
ⲥⲕⲩⲛⲏ	52
ⲓⲱⲃ	52
ⲱⲇⲏ	52
ϣⲁⲁⲣ	52
ⲡⲗⲏⲛ	52
ⲥⲱⲛⲧ	52
ⲧⲁⲩⲟ	52
ⲗⲓⲃⲁⲛⲟⲥ	52
ⲁⲥⲥⲩⲣⲓⲟⲥ	52
ⲃⲟⲏⲑⲉⲓ	52
ⲛⲟⲩϭⲥ	51
ⲡⲗⲁⲛⲁ	51
ⲣⲙⲙⲁⲟ	51
ⲥⲁⲃⲁⲱⲑ	51
ⲯⲁⲗⲗⲉⲓ	51
ϩⲁⲓ	51
ϭⲟⲗ	51
ϩⲓⲣⲛ	51
ϭⲗⲓⲗ	51
ϩⲱⲧⲡ	50
ϭⲃⲟⲓ	50
ⲁⲛⲁⲓ	50
ⲥⲟⲩⲟ	50
ⲥⲱⲧⲉ	50
ⲣⲟⲉⲓⲥ	49
ϭⲱⲃ	49
ϩⲓⲏⲙ	49
ⲧⲱⲙⲥ	49
ϩⲟⲙⲛⲧ	49
ⲛⲁⲓⲁⲧ	48
ⲡⲉⲧⲟⲩⲁⲁⲃ	48
ⲕⲃⲁ	48
ⲉⲃⲓⲱ	48
ⲥⲱϣϥ	48
ⲭⲁⲛⲁⲛⲁⲓⲟⲥ	48
ϩⲛⲁⲁⲩ	48
ϫⲓⲛϫⲏ	48
ϩⲉⲗⲡⲓⲍⲉ	48
ⲕⲱϩ	47
ⲁⲣⲱⲛ	47
ⲁ_ⲛⲧⲟ	47
ⲡⲟⲛⲏⲣⲓⲁ	46
ⲡⲟⲛⲏⲣⲟⲥ	46
ⲉⲙϩⲓⲧ	46
ⲑⲏⲣⲓⲟⲛ	46
ⲓⲁ	46
ϩⲙⲉ	46
ϩⲣⲉ	46
ϩⲧⲟ	46
ϩⲏⲃⲉ	46
ϫⲛⲟⲩ	46
ϯⲟⲩⲱ	46
ⲡⲁⲣⲁ	46
ⲧⲱⲃϩ	46
ⲭⲏⲣⲁ	46
ⲙⲛⲧⲙⲛⲧⲣⲉ	46
ⲭⲁⲣⲓⲥ	45
ⲭⲉⲃⲣⲱⲛ	45
ⲟϩⲉ	45
ⲛⲕⲁ	45
ⲃⲱⲧⲉ	45
ⲛⲁϩⲃ	45
ⲛⲟⲩϥ	45
ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ	45
ϩⲧⲏⲕ	44
ϩⲱⲥⲧⲉ	44
ⲗⲉⲩⲓⲧⲏⲥ	44
ⲣϩⲙϩⲁⲗ	44
ⲟⲩⲣⲟⲧ	43
ϩⲟϥ	43
ϩⲏⲩ	43
ⲕⲁⲓ	43
ⲱⲣϫ	43
ϩⲩⲗⲏ	43
ⲧⲁⲗⲉ	43
ⲧⲱⲣⲡ	43
ⲁⲃⲓⲙⲉⲗⲉⲭ	43
ⲛⲟⲩϩⲉ	42
ⲭⲁⲗⲇⲁⲓⲟⲥ	42
ϩⲣⲟϣ	42
ⲧⲱϩⲥ	42
ⲥⲱⲣⲙ	42
ϫⲓϣⲓⲡⲉ	42
ⲛ_ⲛⲧⲟ	42
ⲓⲥⲁⲁⲕ	41
ⲧⲟⲛⲧⲛ	41
ⲙⲛⲧⲛⲟϭ	41
ⲡⲁⲣⲁⲛⲟⲙⲟⲥ	41
ⲙⲛⲧⲥⲁⲃⲉ	41
ⲉⲓⲱ	41
ⲛⲁϣ	41
ϭⲱⲡⲉ	41
ⲟⲩϭⲥ	41
ⲥⲟⲟⲩ	41
ⲇⲩⲛⲁⲧⲟⲥ	41
ⲙⲛⲧⲛⲁ	40
ⲟⲉⲓⲗⲉ	40
ⲙⲁⲇⲓϩⲁⲙ	40
ϯⲟⲩ	40
ⲁⲗⲉ	40
ⲅⲁⲇ	40
ϣⲱⲛⲉ	40
ⲟⲣⲫⲁⲛⲟⲥ	40
ϩⲣⲟⲩⲃⲏ	40
